"","Family","Species_name","Genus","F_mass","M_mass","F_tail","M_tail","Clutch_size","Mating_System","Display","Resource"
"255","48","Anthracothorax prevostii","Anthracothorax",6.8,7,NA,NA,NA,NA,NA,NA
"256","142","Anthreptes anchietae","Anthreptes",NA,NA,39.7,42.6,2,NA,NA,"1"
"257","142","Anthreptes aurantium","Anthreptes",NA,NA,40.6,46.3,2,NA,NA,"2"
"258","142","Anthreptes collaris","Anthreptes",7,7.8,NA,NA,NA,NA,NA,NA
"259","142","Anthreptes fraseri","Anthreptes",NA,NA,NA,NA,NA,NA,NA,NA
"260","142","Anthreptes gabonicus","Anthreptes",NA,NA,34.1,37.3,2,NA,NA,"1"
"261","142","Anthreptes longuemarei","Anthreptes",11.3,12.6,46,53.9,2,NA,"1","2"
"262","142","Anthreptes metallicus","Anthreptes",7,7,33.5,38.1,2.5,NA,"3","1"
"263","142","Anthreptes neglectus","Anthreptes",9,10,NA,52.6,NA,NA,NA,"2"
"264","142","Anthreptes orientalis","Anthreptes",10.2,10.4,43,49,1.5,NA,NA,"2"
"265","142","Anthreptes pallidigaster","Anthreptes",7.2,6.8,NA,NA,NA,NA,NA,NA
"266","142","Anthreptes platurus","Anthreptes",6,6.5,33,34.3,1.75,NA,"2","1"
"267","142","Anthreptes rectirostris","Anthreptes",9.9,11.3,30.2,31.8,2,NA,NA,"1"
"268","142","Anthreptes reichenowi","Anthreptes",7.1,7.8,35.6,38.2,2,NA,"3","1"
"269","142","Anthreptes rubritorques","Anthreptes",NA,10.6,31,35.1,2,NA,NA,"1"
"270","145","Anthus berthelotii","Anthus",16,17,57.1,59.5,3.9,NA,"4",NA
"271","145","Anthus brachyurus","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"272","145","Anthus caffer","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"273","145","Anthus campestris","Anthus",22.7,23.1,64.2,67.7,4.19,NA,"4","1"
"274","145","Anthus cervinus","Anthus",20.3,20.5,56.2,58.8,5.36,NA,"3","1"
"275","145","Anthus chloris","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"276","145","Anthus crenatus","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"277","145","Anthus godlewskii","Anthus",27.2,25.2,64.9,68.2,NA,NA,NA,NA
"278","145","Anthus gustavi","Anthus",NA,NA,52.3,52.4,4.5,NA,"4","1"
"279","145","Anthus hodgsoni","Anthus",23,22.3,57.3,59.8,4.5,NA,"4","1"
"280","145","Anthus hoeschi","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"281","145","Anthus leucophrys","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"282","145","Anthus lineiventris","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"283","145","Anthus melindae","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"284","145","Anthus novaeseelandiae","Anthus",31.6,33.3,73.3,75.5,NA,"2",NA,NA
"285","145","Anthus pallidiventris","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"286","145","Anthus petrosus","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"287","145","Anthus pratensis","Anthus",19.5,19,54.7,58,5.05,"2","3","1"
"288","145","Anthus richardi","Anthus",31.6,33.3,NA,NA,NA,NA,NA,NA
"289","145","Anthus rubescens","Anthus",20.1,21.6,62.2,64.7,5.46,"2",NA,"1"
"290","145","Anthus sharpei","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"291","145","Anthus similis","Anthus",NA,NA,69.1,72.6,3,NA,"4",NA
"292","145","Anthus spinoletta","Anthus",20.1,21.3,57.3,62.2,4.92,"2","3","1"
"293","145","Anthus spragueii","Anthus",24.1,22.8,56.4,57.3,4.5,NA,"4",NA
"294","145","Anthus trivialis","Anthus",25.1,21.7,56.8,59.3,4.64,NA,"3","1"
"295","145","Anthus vaalensis","Anthus",NA,NA,NA,NA,NA,NA,NA,NA
"296","138","Apalis alticola","Apalis",11.8,12.2,48.5,58.4,NA,NA,NA,"2"
